,title,links,h_score,m_score
0,"Marital rape not recognised, says HC; quashes unnatural sex case registered against man by wife",https://www.thehindu.com/news/national/marital-rape-not-recognised-says-hc-quashes-unnatural-sex-case-registered-against-man-by-wife/article68139209.ece,0.57882977,0.018245172
1,Nearly 200 electricity poles uprooted or damaged in Mysuru during rains on May 3,https://www.thehindu.com/news/national/karnataka/nearly-200-electricity-poles-uprooted-or-damaged-in-mysuru-during-rains-on-may-3/article68139185.ece,0.38493556,0.099777244
2,Mamata accuses BJP of scripting Sandeshkhali incident,https://www.thehindu.com/news/national/west-bengal/mamata-accuses-bjp-of-scripting-sandeshkhali-incident/article68139194.ece,0.5170206,-0.016278725
3,IIM-T launches second batch of PG programme,https://www.thehindu.com/news/cities/Tiruchirapalli/iim-t-launches-second-batch-of-pg-programme/article68138663.ece,0.50881684,0.13265169
4,"At Bihar rally, PM Modi rakes up Godhra train arson to accuse Opposition of appeasement",https://www.thehindu.com/elections/lok-sabha/at-bihar-rally-pm-modi-rakes-up-godhra-train-arson-to-accuse-opposition-of-appeasement/article68139101.ece,0.49832577,0.020043239
5,"Over 11 lakh painkiller capsules headed for Sri Lanka seized in Ramanathapuram district, one arrested",https://www.thehindu.com/news/national/tamil-nadu/over-11-lakh-painkiller-capsules-headed-for-sri-lanka-seized-in-ramanathapuram-district-one-arrested/article68138889.ece,0.4257588,0.0061159916
6,Death of Kochi newborn: Unwed mother shifted to ICU after developing complications,https://www.thehindu.com/news/national/kerala/death-of-kochi-newborn-mother-shifted-to-icu-after-developing-complications/article68139070.ece,0.46209222,0.0802071
7,"Arvinder Singh Lovely, former Delhi Congress chief, along with other former Congress leaders join BJP",https://www.thehindu.com/elections/lok-sabha/ahead-of-polls-congress-arvinder-singh-lovely-joins-bjp/article68139098.ece,0.6071033,-0.014635295
8,"Cheetah from Kuno National Park strays into Rajasthan's Karauli, rescued",https://www.thehindu.com/news/national/madhya-pradesh/cheetah-from-kuno-national-park-strays-into-rajasthans-karauli-rescued/article68138982.ece,0.39941198,0.03349914
9,CJI Chandrachud calls for international collaboration to combat juvenile cybercrimes,https://www.thehindu.com/news/national/cji-chandrachud-calls-for-international-collaboration-to-combat-juvenile-cybercrimes/article68138994.ece,0.43684947,0.1489899
